Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / HARFORD CENTER,21078,2022,152088,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / WORCESTER CO. DEVELOPMENTAL,21841,2022,132268,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / EASTER SEALS HAGERSTOWN,21740,2022,73908,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / BAYSIDE COMMUNITY NETWORK,21921,2022,68712,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / JOHN HOPKINS ELDERPLUS,21224,2022,147272,SMALL BUSES,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / ARC OF NORTHERN CHESAPEAKE,21001,2022,58844,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / APPALACHIAN PARENTS,21550,2022,69449,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/FACILITIES AND CAPITAL EQUIPMENT,COACH & EQUIPMENT / UNIFIED COMMUNITY CONNECTIONS,21152,2022,58937.75,SMALL BUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,ACTION IN MATURITY,21211,2022,171500,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,ASSOCIATED CATHOLIC CHARITIES,21093,2022,78745.69,SECTION 5310 OPERATIONS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,BAYRUNNER,21801,2022,345008,SECTION 5311 RURAL AREA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,EASTER SEALS BALTIMORE,21244,2022,141394.59,SECTION 5310 OPERATIONS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,GREYHOUND,75201,2022,542914.35,SECTION 5311 RURAL AREA,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,"KFH GROUP, INC.",20814,2022,57263.24,TRANSPORTATION DEVELOPMENT PLANS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,LIFESTYLES OF MD,20646,2022,68594.37,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,PARTNERS IN CARE,21122,2022,351907.65,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,PROGRESS UNLIMITED,21117,2022,82953.08,SECTION 5310 OPERATIONS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,SPRING DELL CENTER INC.,20646,2022,54863,MARYLAND JOBS ACCESS REVERSE COMMUTE (MD JARC),Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,THE MARYLAND & DELAWARE RAILROAD,21632,2022,509835.12,FREIGHT SUBSIDY,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,TRANSPORTATION ASSOCIATION OF MD,21090,2022,170000,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,TRI-COUNTY COUNCIL LOWER EASTERN SHORE,21804,2022,2020238.86,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,TRI-COUNTY COUNCIL SOUTHERN MD,20637,2022,65000,STATEWIDE COORDINATION AND TECHNICAL ASSISTANCE (SCATA) OPERATIONS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,WHITMAN REQUARDT & ASSOC.,21231,2022,238110.77,SECTION 5311 RURAL AREA & LARGE URBAN,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/STATEWIDE PROGRAMS OPERATIONS,WORCESTER CO. COMMISION ON AGING,21863,2022,139022.9,VARIOUS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT OPERATIONS,BWI BUSINESS PARTNERSHIP,21090,2022,130000,"BUSINESS, COMMUNITY, AND TRANSPORTATION DEVELOPMENT GRANT",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT FACILITIES & CAPITAL PROGRAMS,"LAYTONSVILLE AIRPORT, LLC",20882,2022,261000,RUNWAY 08 EXTEND-SITE PREPARATION-CONSTRUCTION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT FACILITIES & CAPITAL PROGRAMS,"KENTMORR AIRSTRIP, INC.",21666,2022,152316,RUNWAY STORM WATER DRAINAGE REPAIRS-CONSTRUCTION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT FACILITIES & CAPITAL PROGRAMS,PSM HOLDINGS,20640,2022,170250,TAXIWAY REHABILITATION-CONSTRUCTION,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,CECIL LAND TRUST,21921,2022,957170.25,ALBECK FARMS INC. - RURAL LEGACY EASEMENT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,EASTERN SHORE LAND CONSERVANCY,21601,2022,1555081.9,"RURAL LEGACY EASEMENTS FOR: THOMAS & MELANIE SPERL PROPERTY ($462,169), JEFFREY & JAMES TOWERS PROPERTY ($359,212), AND COLLIER PROPERTY ($733,701).",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,LAND PRESERVATION TRUST,21030,2022,1872404.95,"RURAL LEGACY EASEMENTS FOR: CAROLINE E. SVRJCEK PROPERTY ($512,820), THOMAS D. MORRIS PROPERTY ($960,002), FRANKLIN M. PELTZER PROPERTY ($399,583).",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,"PATUXENT TIDEWATER LAND TRUST, INC.",20650,2022,378814.3,HAYDEN-MAST ET AL PROPERTY - RURAL LEGACY EASEMENT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,SOUTHERN MD RC&D BOARD INC.,20650,2022,1752535.3,"RURAL LEGACY EASEMENTS FOR: BLUESTONE PROPERTY ($153,381), SOLA PROPERTY ($148,536), YOE PROPERTY ($703,989), VALLANDHINGHAM (CARROLL POND) PROPERTY ($412,487), HARRY & JANE DALE PROPERTY ($66,800), C. BROOKE & DIANE DEI PROPERTY ($267,342).",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,THE LOWER SHORE LAND TRUST,21863,2022,139579.77,BISHOP PROPERTY - RURAL LEGACY EASEMENT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY,THE MANOR CONSERVANCY,21111,2022,646911.25,KEHOE PROPERTY - RURAL LEGACY EASEMENT,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RESOURCE ASSESSMENT SERVICE,CHESAPEAKE BAY TRUST,21401,2022,375000,PROVIDE GRANTS TO QUALIFIED ORGANIZATIONS FOR THE CREATION OR EXPANSION OF CERTAIN PROGRAMS TO EDUCATE AND TRAIN YOUTH AND YOUNG ADULTS TO PROMOTE ENERGY CONSERVATION.,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,ALLIANCE FOR THE CHESAPEAKE BAY,21403,2022,297050.95,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BEST MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,ARUNDEL RIVERS FEDERATION,21037,2022,1300667.15,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/COASTAL ZONE MGMT,ASSOCIATION OF CLIMATE CHANGE OFFICERS,33019,2022,76250,ONLINE AND IN PERSON TRAINING AND STRATEGIC PLANNING RELATED TO CLIMATE PREPAREDNESS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,AUDUBON NATURALIST SOCIETY,20815,2022,77211.1,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,BALTIMORE TREE TRUST,21210,2022,500000,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,CECIL LAND TRUST,21921,2022,3633000,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE BAY IMPLEMENTATION GRANT,CHESAPEAKE BAY TRUST,21401,2022,1715637.19,"FUNDING ASSISTANCE FOR THE WATERSHED ASSISTANCE GRANT PROGRAM AND THE GREEN STREETS, GREEN JOBS, GREEN TOWNS GRANT PROGRAM",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,CHESAPEAKE BAY TRUST,21401,2022,334265.25,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,CHESAPEAKE COMMONS,20001,2022,53213.51,"PAYMENTS MADE FOR THE CREATION OF TOOLS IN SUPPORT OF IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/COASTAL ZONE MGMT,CHESAPEAKE CONSERVANCY,21401,2022,58928.24,CONDUCT OUTREACH AND ENGAGEMENT TO THE LATINX CUSTOMERS IN COASTAL STATE PARKS,Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,CHESAPEAKE RIVER ASSOCIATION,21401,2022,131848.52,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BEST MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,DUCKS UNLIMITED,48108,2022,182566.4,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,GREENTRUST ALLIANCE,21075,2022,725200.9,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,GUNPOWDER VALLEY CONSERVANCY,21284,2022,213614.72,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,"LAND AND CULTURAL PRESERVATION FUND, INC.",21793,2022,166566.3,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,MANOR CONSERVANCY,21111,2022,877268.64,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,MARYLAND FORESTRY FOUNDATION,21401,2022,1046729.47,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,OYSTER RECOVERY PARTNERSHIP,21401,2022,278760.04,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,PATAPSCO HERITAGE GREENWAY,21043,2022,59844.71,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,PEARLSTONE CONFERENCE CENTER AND RETREAT,21136,2022,896890,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,POTOMAC CONSERVANCY,20910,2022,218991.4,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,SHORERIVERS INC,21601,2022,749027.27,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,THE NATURE CONSERVANCY,22203,2022,255788.03,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,TROUT UNLIMITED,22209,2022,77682.61,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/CHESAPEAKE & ATLANTIC COASTAL BAYS TRUST FUND,WESTERN MARYLAND RESOURCE CONSERVATION AND DEVELOPMENT,21740,2022,1198792.21,"PAYMENTS MADE FOR THE IMPLEMENTATION OF NONPOINT SOURCE POLLUTION REDUCTION BES MANAGEMENT PRACTICES, INCLUDING STORMWATER MANAGEMENT, STREAM RESTORATION, WETLAND CREATION, AND TREE PLANTING ACTIVITIES.",Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/ALLEGANY STATE'S ATTORNEY'S DIVERSION PROGRAM,"WESTERN MARYLAND AREA HEALTH EDUCATION CENTER, INC DBA AHEC WEST",21502,2022,59267,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/ANNAPOLIS RECOVERY COMMUNITY AND WELLNESS CENTER,SERENITY SISTAS INC.,21403,2022,123501.53,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/DEE'S PLACE - A WELLNESS & RECOVERY CENTER,HISTORIC EAST BALTIMORE COMMUNITY ACTION COALITION (HEBCAC),21213,2022,158932.79,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
"MARYLAND DEPARTMENT OF HEALTH/PROMOTING ACCESS TO HEALTH AND WELLNESS FOR PEOPLE WHO USE DRUGS THROUGH STREET-BASED OUTREACH, DROP-IN SERVICES AND CASE MANAGEMENT",CHARM CITY CARE CONNECTION,21213,2022,175000,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/PUBLIC AWARENESS CAMPAIGN – OPIOID USE & RECOVERY OPTIONS IN BALTIMORE CITY,"HELPING UP MISSION, INC.",21202,2022,310701.26,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/CREATING CONNECTIONS TO MOUD TREATMENT FOR JUSTICE INVOLVED AND MARGINALIZED POPULATIONS,"BEHAVIORAL HEALTH LEADERSHIP INSTITUTE, INC.",21218,2022,250674.25,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MEET THEM WHERE THEY ARE,DANIEL CARL TORSCH FOUNDATION INC,21236,2022,160749.5,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/A PILOT SHEPPARD PRATT HUB AND SPOKE NETWORK,SHEPPARD PRATT HEALTH SYSTEM,21204,2022,243200,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/OPIOID PROJECTS ON THE EASTERN SHORE,"MID SHORE BEHAVIORAL HEALTH, INC.",21601,2022,122077.84,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/DRUG FREE CECIL YOUTH COALITIONS,YOUTH EMPOWERMENT SOURCE,21921,2022,129419.8,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/CECIL COMMUNITY RECOVERY CENTER,VOICES OF HOPE,21921,2022,222089.37,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/SUPPORTING RECOVERY THROUGH TRAUMA-INFORMED CARE AT UM-UCH/KLEIN FAMILY HARFORD CRISIS CENTER,UNIVERSITY OF MARYLAND UPPER CHESAPEAKE HEALTH/KLEIN FAMILY HARFORD CRISIS CENTER,21014,2022,126811.49,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/CATALYST EXPANSION TO PATHWAYS TO TREATMENT AND RECOVERY,"ADDICTION CONNECTIONS RESOURCE, INC.",21047,2022,129052,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/CHOOSE LIFE HEALTH AND WELLNESS PROGRAM FOR RECOVERY,"JUSTICE AND RECOVERY ADVOCATES, INC.",21788,2022,144110.16,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/SUBSTANCE USE FAMILY NAVIGATION OUTREACH PROGRAM,MARYLAND COALITION OF FAMILIES,21044,2022,87446.15,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/FAMILY LEGAL ADVOCACY INITIATIVE,MID SHORE PRO BONO,21601,2022,183801.47,COMPETITIVE GRANT PROGRAM AWARD FOR FY22,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,HOLY CROSS HOSPITAL,20705,2022,107500,COVID-19 CHW OUTREACH SERVICES AND MOTA OUTREACH,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,LIFESTYLES OF MARYLAND,20674,2022,107500,COVID-19 CHW OUTREACH SERVICES AND MOTA OUTREACH,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,EASTERN SHORE WELLNESS SOLUTIONS,21613,2022,117500,COVID-19 CHW OUTREACH SERVICES AND MOTA OUTREACH,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,CASA,20912,2022,67500,COVID-19 CHW OUTREACH SERVICES AND MOTA OUTREACH,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,ASIAN AMERICAN CENTER OF FREDERICK,21703,2022,242500,"COVID-19 CHW OUTREACH SERVICES, SDOH AND MOTA OUTREACH",Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,CENTRA SOL,21223,2022,50000,COVID-19 CHW OUTREACH SERVICES AND MOTA OUTREACH,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,AFRICAN WOMENS CANCER AWARENESS ASSOCIATION,20770,2022,62500,SDOH OUTREACH SERVICES,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/MINORITY HEALTH AND HEALTH DISPARITIES,UNITED WAY OF CENTRAL MARYLAND,21203,2022,50000,MOTA OUTREACH SERVICES,Grant,1,06/30/2022 12:00:00 AM
"MARYLAND DEPARTMENT OF HEALTH/OFFICE OF THE SECRETARY, DEPUTY SECRETARY FOR OPERATIONS",HOUSE OF RUTH,21218,2022,92241,PROJECT UTILITY GRANT,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/OFFICE OF HEALTH CARE QUALITY,MENTAL HEALTH ASSOC OF MD,21093,2022,80523.32,MENTAL HEALTH TRAINING DIRECT CARE LTC WORKERS,Grant,1,06/30/2022 12:00:00 AM
MARYLAND DEPARTMENT OF HEALTH/PREVENTION AND HEALTH PROMOTION ADMINISTRATION,A+ COUNSELING CENTER,20744,2022,312397,RYAN WHITE HIV PROGRAMS,Grant,1,06/30/2022 12:00:00 AM
